Age,Sexe,Taux_presence,Nombre_retards,Note_moyenne,Situation_familiale,Abandon
21,Femme,89.5850225059296,2,15.82689572170009,Enfants à charge,0
20,Homme,70.7130680645271,3,12.829358419949394,Célibataire,0
22,Femme,82.1229626203803,1,13.086318616123135,Enfants à charge,0
24,Homme,87.40885871353393,3,14.99203171201456,Célibataire,0
20,Homme,86.47067613058003,3,12.671648591818327,Marié,0
20,Femme,100.0,0,15.34309712527794,Marié,0
24,Homme,87.79840019654326,1,11.869304176857128,Célibataire,0
22,Femme,76.96756322526392,3,13.868002685688117,Célibataire,0
20,Femme,84.23628602328742,2,12.621463054417035,Enfants à charge,0
22,Homme,70.79002933226839,4,10.941971820093197,Marié,0
20,Homme,84.35520200562591,2,12.592955958915603,Célibataire,0
20,Femme,78.33555154399393,4,12.895497979929228,Marié,0
21,Femme,92.3231222044813,2,14.322834669954853,Célibataire,0
17,Homme,80.60367780323573,3,11.43573478005241,Célibataire,0
17,Homme,84.06587267363803,3,13.701543465231765,Célibataire,0
19,Homme,79.91553726876478,2,11.403600565504487,Célibataire,0
18,Homme,98.91081081482665,0,15.249215896908506,Enfants à charge,0
21,Femme,82.4300578710567,2,11.107619566032426,Marié,0
19,Femme,99.66045634783362,0,14.775110339977434,Enfants à charge,0
18,Femme,91.51321409694613,1,14.955511284262398,Marié,0
23,Femme,88.85653381868309,3,12.01394403469954,Enfants à charge,0
20,Homme,87.94986517854016,1,12.76133405215931,Marié,0
21,Homme,88.15037838573001,2,14.070187841726693,Marié,0
18,Femme,69.57861936523511,5,10.143186008692215,Divorcé,0
19,Femme,82.76893284679394,3,15.057376562978401,Marié,0
21,Femme,91.76126376947457,1,16.64808611144556,Célibataire,0
18,Femme,84.60882253220716,2,12.67340091707992,Marié,0
21,Femme,73.7584812255714,5,11.870909802239192,Enfants à charge,1
19,Femme,84.58076439538024,3,14.086397216186489,Marié,0
20,Femme,98.63284413004394,0,15.447447761482186,Marié,0
19,Femme,94.97513372427775,1,13.80072852214346,Marié,0
24,Femme,84.50396792507175,3,13.313296739452706,Divorcé,0
20,Homme,92.6115942164647,2,14.568893457655593,Célibataire,0
18,Femme,82.06794383705558,2,12.724427078587716,Marié,0
22,Homme,71.36902730538625,6,11.197670963972424,Célibataire,0
18,Homme,77.60427209496356,3,11.539911207238935,Marié,0
21,Femme,97.50311014806559,1,14.523468974630696,Marié,0
17,Femme,82.80805534536556,4,12.980291272154664,Célibataire,0
18,Homme,83.05292816499986,1,13.893909317318855,Célibataire,0
21,Homme,82.60129442980096,3,11.863549220570091,Marié,0
22,Femme,100.0,0,17.17809061099108,Célibataire,0
21,Homme,98.0076713228965,0,14.180669560658396,Célibataire,0
20,Femme,100.0,1,15.471886541284357,Enfants à charge,1
20,Femme,83.72763831679958,2,13.151137211322329,Célibataire,0
18,Femme,87.36499590997676,1,13.518525673844584,Célibataire,0
19,Homme,72.86685960463367,5,10.614968467143859,Enfants à charge,1
20,Homme,96.8154754089462,1,17.443395793650044,Célibataire,0
23,Femme,75.65776358985651,4,10.947780449439577,Célibataire,0
